doi;year;authors;title;abstract;citations
10.2514/6.2018-3849;2018;P.+D.+Vascik R.+J.+Hansman;Scaling Constraints For Urban Air Mobility Operations: Air Traffic Control, Ground Infrastructure, And Noise;The scalability of the current air traffic control system, the availability of aviation ground infrastructure, and the acceptability of aircraft noise to local communities have been identified as three key operational constraints that may limit the implementation or growth of Urban Air Mobility (UAM) systems. This paper identifies the primary mechanisms through which each constraint emerges to limit the number of UAM operations in an area (i.e. the scale of the service). Technical, ecosystem, or operational factors that influence each of the mechanisms are also identified. Interdependencies between the constraints are shown. Potential approaches to reduce constraint severity through adjustments to the mechanisms are introduced. Finally, an effort is made to characterize the severity of each operational constraint as a function of the density of UAM operations in a region of interest. To this end, a measure of severity is proposed for each constraint. This measure is used to notionally display how the severity of the constraint responds to UAM scaling, and to identify scenarios where efforts to relieve the constraint are most effective. The overall purpose of this paper is to provide an abstraction of the workings of the key UAM operational constraints so that researchers, developers, and practitioners may guide their efforts to mitigation pathways that are most likely to increase achievable UAM system scale. 2018, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;47
10.2514/6.2019-0526;2019;P.+D.+Vascik R.+J.+Hansman;Development Of Vertiport Capacity Envelopes And Analysis Of Their Sensitivity To Topological And Operational Factors;This study develops an Integer Programming (IP) approach to analytically estimate vertiport capacity envelopes. The approach is used to determine the sensitivity of vertiport capacity to the number and layout of touchdown and liftoff pads, taxiways, gates, and parking pads (i.e. the vertiport topology). The study also assesses the sensitivity of vertiport capacity to operational parameters including taxi time, turnaround time, pre-staged aircraft, and approach/departure procedure independence, among others. Findings indicate the importance of balancing the number of touchdown and liftoff pads with the number of gates to achieve maximum aircraft throughput per vertiport footprint. Furthermore, simultaneous paired arrivals or departures provide significant throughput gains without the need for fully independent approach and departure procedures. The methodology and findings introduced in this paper support the development of concepts of operation to maximize throughput for a given vertiport footprint and demand scenario. While throughput has been extensively researched for fixed-wing operations, little research has been dedicated to the operation of infrastructure for Vertical Takeoff and Landing (VTOL) aircraft. The emergence of new VTOL aircraft to conduct a potentially large number of urban air mobility operations creates a need to better understand the operation and throughput capacity of vertiports, especially in space constrained inner-city locations. This paper reviews numerous existing heliport designs to derive four topology classes of vertiport layouts. The IP formulation of vertiport operations is readily adapted to represent the infrastructure and operations of these layouts. 2019, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;45
10.2514/1.D0120;2018;P.+D.+Vascik R.+John N.+S.+Dunn;Analysis Of Urban Air Mobility Operational Constraints;Urban air mobility (UAM) refers to a set of vehicles and operational concepts proposed to provide on-demand or scheduled air transportation services within a metropolitan area. This paper investigates potential operational constraints that could arise during the implementation or scale-up of a UAM system. Literature on helicopter passenger networks was reviewed to determine operational constraints experienced by prior services similar toUAM. A constraint analysis was applied to near-term UAM operations in Los Angeles, Boston, and Dallas to assess if the historical constraints persist, or if novel constraints have emerged. The three city cases represented geographically diverse implementation regions for UAM services. A notional door-to-door concept of operations was applied to 32 reference missions within the three city cases. The reference missions exhibited a variety of requirements in terms of flight distance, passenger volume, market type, population overflight, and air traffic congestion, among others. By reviewing ground and flight operations for each reference mission, eight operational constraints were identified that could limit UAM system growth potential or prohibit UAM services altogether. The three most stringent constraints concerned community acceptance of aircraft noise, takeoff and landing area availability, and air traffic control scalability. 2018 by Parker Vascik.;44
10.1109/DASC.2018.8569645;2018;I.+C.+Kleinbekman M.+A.+Mitici P.+Wei;Evtol Arrival Sequencing And Scheduling For On-Demand Urban Air Mobility;Urban Air Mobility (UAM) has the ability to reduce ground traffic congestion by enabling rapid on-demand flight through three-dimensional airspace with zero operational emissions by using electric Vertical Take-Off and Landing (eVTOL) vehicles. In the long term with more UAM flights, air traffic control is expected to limit further growth of such operations. Therefore, a first research has been performed on energy-efficient trajectory optimisation for a given required time of arrival, as the arrival phase is the most safety-critical flight phase with much higher air traffic density and limited battery energy. However, research on the computation of the optimal required time of arrival (RTA) for eVTOL aircraft has not yet been performed. Unlike fixed-wing aircraft or helicopters in commercial aviation, eVTOL aircraft have different flight dynamics, limited battery energy supply and a limited number of landing spots at a vertiport such as the top of high-rise buildings. This work is the first to utilise a mixed-integer linear program that computes the optimal RTAs for eVTOLs to safely separate them for minimum delay based on remaining battery state of charge and vertiport capacity. A concept of operations for vertiport terminal area airspace design is also proposed while making use of the existing energy-efficient trajectory optimisation tool. The research serves as a basis for further development of safe and efficient UAM operations. The mathematical model can also be applied to Unmanned Aircraft System Traffic Management (UTM) by inserting new separation requirements and flight dynamics for smaller drones when optimising a high density arrival terminal airspace. 2018 IEEE.;41
10.2514/6.2018-3891;2018;R.+L.+Rothfeld M.+Balac K.+O.+Ploetner C.+Antoniou;Agent-Based Simulation Of Urban Air Mobility;While a new generation of electric Vertical Take-off and Landing (eVTOL) or Personal Air Vehicles (PAV) projects receive much attention, little research is available on modeling their integration into urban transport systems. An early methodology of the Urban Air Mobility (UAM) extension for the multi-agent transport simulation, MATSim, is being presented, which enables first analyses of system-wide urban transport performance considering the effects of variations in VTOL vehicle properties and dedicated VTOL infrastructure placement. 2018, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;39
10.1007/s13272-020-00468-5;2020;K.+O.+Ploetner C.+Al C.+Antoniou F.+Frank M.+Fu S.+Kabel C.+Llorca R.+Moeckel A.+T.+Moreno A.+Pukhova R.+Rothfeld M.+Shamiyeh A.+Straubinger H.+Wagner Q.+Zhang;Long-Term Application Potential Of Urban Air Mobility Complementing Public Transport: An Upper Bavaria Example;In this paper, the required models and methods to analyze and quantify the potential demand for urban air mobility (UAM) complementing public transport and possible impacts were defined and applied to the Munich Metropolitan region. An existing agent-based transport model of the study area were used and extended to cover socio-demographic changes up to the year 2030 and intermodal UAM services. An incremental logit model for UAM was derived to simulate demand for this new mode. An airport access model was developed as well. Three different UAM networks with different numbers of vertiports were defined. Sensitivity studies of ticket fare and structure, flying vehicle cruise speed, passenger process times at vertiports and different Urban Air Mobility networks sizes were performed. For the reference case, UAM accounts for a modal share of 0.5%. The absolute UAM demand is concentrated on very short routes, hence, UAM vehicle flight speed variation shows low UAM demand impacts. Kilometer-based fare, number of UAM vehicles per vertiport and passenger process times at vertiports show a significant impact on UAM demand. 2020, Deutsches Zentrum fr Luft- und Raumfahrt e.V.;37
10.1109/TTE.2020.3006045;2020;L.+Dorn-Gomba J.+Ramoul J.+Reimers A.+Emadi;Power Electronic Converters In Electric Aircraft: Current Status, Challenges, And Emerging Technologies;The electric revolution is underway in the transportation sector, and the aviation industry is poised to embrace fundamental disruption. Moving to electric aircraft brings undeniable benefits in terms of environmental impact, cost savings, maintenance, noise pollution, and safety. Nevertheless, several technical challenges are yet to be overcome to build electric airplanes that meet public needs while gaining acceptance and trust. From urban air mobility to long-haul flight applications, hundreds of projects are under research to push toward more electrification. At the heart of each aircraft architecture, power electronics plays a crucial role in the new era of transportation. This article aims to provide a comprehensive analysis of state-of-the-art power electronics in electric aircraft. A review of the current status of aircraft electrification will be provided, and technology surveys of power electronic converters will be detailed. Challenges for forthcoming power electronics in response to the future trends of the electrical network will be explained. Finally, emerging technologies regarding wide bandgap devices, advanced topologies and control, thermal management, passive components, and system integration will be discussed. 2015 IEEE.;37
10.2514/6.2018-3677;2018;L.+W.+Kohlman M.+D.+Patterson;System-Level Urban Air Mobility Transportation Modeling And Determination Of Energy-Related Constraints;In this paper, we describe a transportation system-level model of an urban air mobility (UAM) network over a single metropolitan area. This model provides the ability to assess many parameters, including the number of vehicles needed in the system to meet demand, the number of vehicles airborne at any given time, and the length of time vehicles may have to loiter before a landing pad becomes available. We focus our initial studies with the model on exploring the UAM system-level implications of different energy storage systems on UAM vehicles. Specifically, we compare fully-battery-electric vehicles to vehicles with multiple hybrid-electric powertrains, which consist of different energy conversion systems (i.e., engines and fuel cells) and fuels. The transportation system-level model provides insight into vertiport ground infrastructure requirements, such as the number of recharging or refueling stations and the impact of various vehicle powertrains on these requirements. Ultimately, results indicate that the use of liquefied natural gas (LNG) as a fuel in a hybrid solid oxide fuel cell-battery-turbine system can result in a vehicle power system that provides lower operating costs, reduced carbon dioxide emissions, and lower power system weights than pure batteryelectric solutions at the same power level while also having fewer infrastructure integration issues. Additionally, a hybrid internal combustion engine-generator-battery solution fueled with LNG provides a near-equivalent energy cost solution to pure battery-electric power systems at the same power level, but at a much lower system mass. Consequently, this hybrid architecture is expected to provide advantages for sized vehicles over other power system types. 2018, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.;37
10.1016/j.paerosci.2021.100726;2021;A.+Bauranov J.+Rakas;Designing Airspace For Urban Air Mobility: A Review Of Concepts And Approaches;The article brings together the academic and industry literature on the design and management of urban airspace. We analyze the proposed airspace concepts, identify their strengths and weaknesses, point to gaps in research, and provide recommendations for a more holistic approach to designing urban airspace. We first identify the structural factors that define the size, capacity, and geometry of urban airspace. These factors are grouped into four categories: safety-related factors, social factors, system factors, and aircraft factors. Second, we review different urban airspace concepts proposed around the world. Third, we assess the airspace concepts based on the identified factors. Most of the reviewed airspace concepts are idealized as abstract networks, with an emphasis on maximizing safety and capacity, and with little regard for factors such as technological complexity, noise, or privacy. Additionally, we find that the airspace structure directly influences the level of safety, efficiency, and capacity of airspace. On the one hand, air vehicles in less structured airspace have more degrees of freedom. They can freely choose their position, altitude, heading, and speed, which increases airspace capacity and reduces flying costs. However, these concepts require high technological capabilities, such as dynamic geofences and advanced sense-and-avoid capabilities, to maintain the required safety levels. On the other hand, airspace concepts with fewer degrees of freedom can accommodate less capable aircraft but require strict operation rules and reduced capacity to ensure safety. Finally, the proposed urban air mobility concepts require extensive ground infrastructures, such as take-off and landing pads and communication, navigation, and surveillance infrastructure. There is a need for a new branch of research that analyzes urban air mobility from the perspective of urban planning, including issues around zoning, air rights, public transportation, real estate development, public acceptance, and access inequalities. 2021 The Authors;35
N/A;2020;C.+Malpica S.+Withrow-Maser;Handling Qualities Analysis Of Blade Pitch And Rotor Speed Controlled Evtol Quadrotor Concepts For Urban Air Mobility;A study of the handling qualities of quadrotor designs for urban air mobility (UAM) application was performed. Eight different quadrotor configurations based on NASA reference concept vehicles were considered for investigation. The study was based on NASA single-passenger (250-lb payload) 50-nm range and six-passenger (1,200-lb payload) reference quadrotor designs. Intermediate-sized two- and four-passenger (400- and 800-lb payload) designs formed the final candidate configurations. All aircraft were equipped with electric motors for propulsion, but different variants were configured with variable pitch (collective) control (with constant rotor speed) or variable rotor speed control (with constant pitch). Flight dynamics models developed had sufficient richness of detail to conduct flight control or handling qualities assessments. Based on the various modeling assumptions, assessments showed that collective control was feasible, whereas rotor speed-based control exhibited unstable closed-loop roll and pitch dynamics. Vehicle size in the range considered did not cause significant change in the handling qualities because of a fundamental trade-off between the underlying parameters that govern the control power-to-weight (inertia) ratio. This is a work of the U.S. Government and is not subject to copyright protection in the U.S.;33
10.2514/1.G005000;2020;X.+Yang P.+Wei;Scalable Multi-Agent Computational Guidance With Separation Assurance For Autonomous Urban Air Mobility;Electric vertical takeoff and landing vehicles are becoming promising for on-demand air transportation in urban air mobility (UAM). However, successfully bringing such vehicles and airspace operations to fruition will require introducing orders of magnitude more aircraft to a given airspace volume. Although there are existing solutions for communication technology, onboard computing capability, and sensor technology, the computation guidance algorithm to enable safe, efficient, and scalable flight operations for dense self-organizing air traffic still remains an open question. In this paper, a message-based decentralized computational guidance algorithm is proposed and analyzed for multiple cooperative aircraft by formulating this problem using multi-agent Markov decision process and solving it by Monte Carlo tree search algorithm. A novel coordination strategy is introduced by using the logit level-k model in behavioral game theory. To achieve higher scalability, the airspace sector concept is introduced into the UAM environment by dividing the airspace into sectors, so that each aircraft only needs to coordinate with aircraft in the same sector. At each decision step, all of the aircraft will run the proposed computational guidance algorithm onboard, which can guide all the aircraft to their respective destinations while avoiding potential conflicts among them. For validation and demonstration, a free-flight airspace simulator that incorporates environment uncertainty is built in an OpenAI Gym environment. Numerical experiment results over several case studies, including the roundabout test problem, show that the proposed computational guidance algorithm has promising performance even with the high-density air traffic case. 2020 by Xuxi Yang and Peng Wei.;33
10.1016/j.trc.2018.07.032;2018;I.+Gerdes A.+Temme M.+Schultz;Dynamic Airspace Sectorisation For Flight-Centric Operations;Today's air traffic operations follow the paradigm of flow follows structure which already limits the operational efficiency and punctuality of current air traffic movements. Therefore, we introduce the dynamic airspace sectorisation and consequently change this paradigm to the more appropriate approach of structure follows flow. The dynamic airspace sectorisation allows an efficient allocation of scarce resources considering operational, economic and ecological constraints in both nominal and variable air traffic conditions. Our approach clusters traffic patterns and uses evolutionary algorithms for optimisation of the airspace, focusing on high capacity utilisation through flexible use of airspace, appropriate distribution of task load for air traffic controllers and fast adaptation to changed operational constraints. We thereby offer a solution for handling non-convex airspace boundaries and provide a proof of concept using current operational airspace structures and enabling a flight-centric air traffic management. We are confident that our developed dynamic airspace sectorisation significantly contributes to the challenges of future airspace by providing appropriate structures for future 4D aircraft trajectories taking into account various operational aspects of air traffic such as temporally restricted areas, limited capacities, zones of convective weather or urban air mobility. Dynamic sectorisation is a key enabling technology in the achievement of the ambitious goals of Single European Sky and Flightpath 2050 through a reduction in coordination efforts, efficient resource allocation, reduced aircraft emissions, fewer detours, and minimisation of air traffic delays. 2018 Elsevier Ltd;31
10.1109/TITS.2021.3082767;2021;A.+P.+Cohen S.+A.+Shaheen E.+M.+Farrar;Urban Air Mobility: History, Ecosystem, Market Potential, And Challenges;Since the early 20th century, inventors have conceptualized 'plane cars' and other urban aerial transportation. Emerging innovations in electrification, automation, and other technologies are enabling new opportunities for on-demand air mobility, business models, and aircraft design. Urban air mobility (UAM) envisions a safe, sustainable, affordable, and accessible air transportation system for passenger mobility, goods delivery, and emergency services within or traversing metropolitan areas. This research employed a multi-method approach comprised of 106 interviews with thought leaders and two stakeholder workshops to construct the history, ecosystem, state of the industry, and potential evolution of UAM. The history, current developments, and anticipated milestones of UAM can be classified into six phases: 1) 'flying car' concepts from the early 1910s to 1950s, 2) early UAM operations using scheduled helicopter services from the 1950s to 1980s, 3) re-emergence of on-demand services starting in the 2010s, 4) corridor services using vertical take-off and landing (VTOL) envisioned for the 2020s, 5) hub and spoke services, and 6) point-to-point services. In the future, UAM could face several barriers to growth and mainstreaming, such as the existing regulatory environment, community acceptance, and concerns about safety, noise, social equity, and environmental impacts. UAM also could be limited by infrastructure and airspace management needs, as well as business model constraints. The paper concludes with recommendations for future research on sustainability, social and economic impacts, airspace integration, and other topics. 2000-2011 IEEE.;29
10.1016/j.trd.2021.102716;2021;K.+Mouratidis S.+Peters B.+Van;Transportation Technologies, Sharing Economy, And Teleactivities: Implications For Built Environment And Travel;This paper reviews how teleactivities, the sharing economy, and emerging transportation technologies  components of what we could call the App City  may influence travel behavior and the built environment. Findings suggest that teleactivities may substitute some trips but generate others. Telework and teleconferencing may reduce total travel. Findings on the sharing economy suggest that accommodation sharing increases long-distance travel, bikesharing is conducive to more active travel and lower car use, carsharing may reduce private car use and ownership, ridesourcing (ridehailing) may increase vehicle miles traveled, while the implications of e-scooter sharing, ridesharing, and Mobility as a Service are context-dependent. Findings on emerging transportation technologies suggest that private autonomous vehicles and urban air mobility may increase total travel, whereas autonomous buses may lead to reduced car use. Implications of App Cities for the built environment include new transport systems and land use changes due to behavioral changes. 2021 The Author(s);29
10.2514/1.I010710;2019;P.+Pradeep P.+Wei;Energy-Efficient Arrival With Rta Constraint For Multirotor Evtol In Urban Air Mobility;The electric vertical takeoff and landing (eVTOL) aircraft can alleviate transportation congestion on the ground by using three-dimensional airspace efficiently. However, the endurance of lithium-ion polymer (Li-Po) batteries imposes critical constraints on the operational time span of an eVTOL aircraft on urban air mobility (UAM) passenger transportation mission. This research focuses on the formulation of fixed-final-time multiphase optimal control problem with energy consumption as the performance index for a multirotor eVTOL aircraft. The proposed multiphase optimal control problem formulation and the numerical solution enables a multirotor eVTOL aircraft to meet the assigned required time of arrival and achieve an energy-efficient arrival trajectory for a given concept of operation (CONOP), which is a critical enabler for the safe and efficient future eVTOL operations for passenger transportation and cargo delivery. The problem formulation is applied to a UAM passenger transportation use case with EHang 184 eVTOL aircraft, and an Uber-proposed vertiport for five different types of CONOPs. Finally, the energy consumed for all the CONOPs is compared to propose the most energy-efficient CONOP for a multirotor eVTOL on UAM passenger transportation mission. The proposed framework can also be used to address an energy-efficient cargo delivery application in a UAS traffic management context. Copyright 2019 by the American Institute of Aeronautics and Astronautics, Inc. All rights reserved.;29
